dim	k	n	amount	rem
goods	822	1	1380.00	1024.00
goods	824	1	820.00	800.00
goods	826	7	10532.46	6058.46
goods	832	7	5378.56	4100.28
goods	833	6	6318.00	3421.00
goods	836	1	2150.00	420.00
goods	840	2	3280.00	1920.00
goods	842	3	3120.00	2363.42
goods	843	29	33296.72	16611.25
goods	844	2	1707.90	1063.00
goods	846	1	1442.32	268.28
goods	847	3	2508.24	1950.62
goods	848	5	5521.35	3938.81
goods	849	2	2460.00	2220.00
goods	850	1	1180.00	1100.00
goods	852	1	580.00	448.00
goods	858	1	488.96	243.24
goods	859	5	3236.19	2611.81
goods	860	2	1123.00	1005.00
goods	861	2	1060.00	529.00
goods	862	16	8992.00	5446.50
goods	866	38	53351.07	32048.91
goods	867	2	5098.00	2097.00
goods	868	4	14962.00	12636.00
goods	872	4	2444.00	1288.00
goods	876	32	27396.47	19234.31
goods	879	1	2206.00	648.00
goods	880	13	14763.29	10028.50
goods	883	12	27406.72	18951.00
goods	884	13	13665.02	8380.10
goods	885	1	1430.00	560.00
goods	886	2	2829.04	824.51
goods	88769	1	3430.00	2727.00
goods	888	3	3040.00	2566.00
goods	889	6	6527.55	4238.00
goods	890	2	2318.00	1814.00
goods	891	6	6995.00	5086.00
goods	892	2	2966.00	1203.00
goods	893	4	4641.00	3949.00
goods	894	1	1139.00	154.53
goods	895	8	7034.72	2858.88
goods	89625	9	3332.73	2422.73
goods	89629	1	2420.00	2270.00
goods	89633	1	910.00	900.00
goods	89638	1	680.00	440.00
goods	89642	1	2080.00	2000.00
goods	89645	7	2407.51	2192.51
goods	89646	2	1050.00	955.00
goods	897	12	18421.16	12359.77
goods	898	5	9420.00	8522.00
goods	899	1	1634.00	1110.00
goods	900	6	6069.14	3630.94
goods	901	4	6497.00	3813.00
goods	902	8	11626.00	5833.00
goods	903	2	2498.00	2230.00
goods	905	3	4259.00	2560.00
goods	906	1	1890.00	1880.00
goods	907	3	4666.00	2669.00
goods	908	3	5810.00	3412.00
goods	909	3	2109.00	1492.00
goods	910	7	5526.87	3706.99
goods	912	2	3390.00	3006.00
goods	913	2	1700.00	1442.00
goods	914	3	2580.00	991.00
goods	915	5	3240.00	3115.00
goods	916	14	10709.20	4271.41
goods	917	2	2896.00	1638.00
goods	920	3	2776.10	2341.87
goods	921	13	14555.66	10127.53
goods	924	1	2890.00	2272.00
goods	927	12	10618.09	6750.34
goods	928	5	9990.01	6930.01
goods	930	3	1890.00	826.00
goods	931	3	8850.00	6545.61
goods	932	6	2834.00	2652.00
goods	93380	1	2700.00	2376.00
goods	937	3	3330.00	2912.00
goods	938	2	2450.00	1650.00
goods	939	2	1820.00	1356.00
goods	942	4	6882.61	4201.54
goods	954	5	3360.16	2081.29
