product_id	cost
5384	579.0000
5383	343.0000
5382	198.0000
5381	224.0000
5380	441.0000
5379	548.0000
5378	235.0000
5375	259.0000
5374	305.0000
5373	150.0000
5372	263.0000
5371	130.0000
5368	336.0000
5367	280.0000
5366	469.0000
5365	205.0000
5364	336.0000
5362	270.0000
5360	334.0000
5357	368.0000
5356	352.0000
5355	289.0000
5354	215.0000
5353	155.0000
5352	193.0000
5350	425.0000
5349	595.0000
5348	294.0000
5346	476.0000
5345	320.0000
5344	280.0000
5343	648.0000
5341	347.0000
5339	150.0000
5337	595.0000
5335	219.0000
5334	507.0000
5333	270.0000
5332	240.0000
5331	315.0000
5329	369.0000
5327	278.0000
5326	385.0000
5324	543.0000
5323	150.0000
5321	686.0000
5320	313.0000
5319	455.0000
5316	390.0000
5315	175.0000
5314	345.0000
5313	665.0000
5312	240.0000
5309	186.0000
5308	166.0000
5307	453.0000
5304	525.0000
5303	245.0000
5302	553.0000
5301	403.0000
5300	205.0000
5298	175.0000
5297	210.0000
5294	495.0000
5293	504.0000
5291	341.0000
5290	252.0000
5289	245.0000
5288	235.0000
5287	320.0000
5286	595.0000
5284	770.0000
5283	232.0000
5282	320.0000
5281	623.0000
5279	546.0000
5278	315.0000
5277	115.0000
5276	201.0000
5274	616.0000
5273	303.0000
5272	205.0000
5271	333.0000
5270	130.0000
5269	481.0000
5268	425.0000
5267	348.0000
5266	173.0000
5265	599.0000
5264	410.0000
5262	236.0000
5261	320.0000
5260	225.0000
5259	205.0000
5258	294.0000
5257	280.0000
5255	155.0000
5254	229.0000
5252	455.0000
5251	273.0000
5250	165.0000
5248	595.0000
5247	155.0000
5246	443.0000
5245	327.0000
5240	310.0000
5239	315.0000
5238	530.0000
5237	243.0000
5236	229.0000
5234	583.0000
5232	263.0000
5231	385.0000
5230	333.0000
5228	200.0000
5227	246.0000
5226	385.0000
5225	200.0000
5224	155.0000
5222	135.0000
5221	296.0000
