period	d	order_id	product_id	qty	sales	deal_type	brand	sku	product_name
2026-09	2026-09-04	55434	242	1	859.0000	installment	HISENSE	HISENSE-DB35DCUR-INOX	მაცივარი HISENSE DB35DCUR-INOX
2026-09	2026-09-04	55450	356	1	419.0000	installment	SAMSUNG	SAMSUNG-VCC885HH3P-XEV	მტვერსასრუტი SAMSUNG VCC885HH3P/XEV
2026-09	2026-09-04	55468	2141	1	389.0000	installment	MIDEA	MIDEA-MWH100-20MFG-CIS-W	დენის წყლის გამაცხელებელი MIDEA MWH100-20MFG(CIS)W
2026-09	2026-09-04	55504	58369	1	569.0000	installment		NAVI-4	კარადა ორი კარით NAVI, თეთრი
2026-09	2026-09-04	55604	1975	1	629.0000	installment	HISENSE	HISENSE-DT27DR4-SILVER	მაცივარი HISENSE DT27DR4-SILVER
2026-09	2026-09-04	55614	1682	1	729.0000	installment	BEKO	BEKO-BHCB66641BBHS	გამწოვი BEKO BHCB66641BBHS
2026-09	2026-09-04	55617	500	1	569.0000	installment	HISENSE	HISENSE-DT27DR4-White	მაცივარი HISENSE DT27DR4-White
2026-09	2026-09-04	55639	927	1	649.0000	installment	SHARK	SHARK-PX200EUT	ქიმწმენდის აპარატი SHARK PX200EUT
2026-09	2026-09-04	55641	249	1	749.0000	installment	MIDEA	MIDEA-MF100W70	სარეცხის მანქანა MIDEA MF100W70
2026-09	2026-09-04	55649	142300	1	949.0000	installment	SAMSUNG	176263	Mobile and Smartphones/ Samsung/ Samsung A276B Galaxy A27 6GB/128GB 5G Duos Black
2026-09	2026-09-04	55652	142264	1	679.0000	installment	HONOR	177278	Mobile and Smartphones/ Honor/ Honor X7e 6GB/128GB Sunrise Orange
2026-09	2026-09-04	55672	57491	1	2369.0000	installment	TCL	172683	TV/ LED/ TCL/ TV 75"(190cm)/ TCL 75V6D Google TV  4K  HDR10 WiFi5 BT5.2 Dolby Audio 15W 300X300
2026-09	2026-09-04	55683	57552	1	1619.0000	installment	TCL	172041	TV/ MiniLED/ TCL/ Mini LED TCL TV 50"(127cm)/ 50C6K 4K GTV HDR high brightnesst; MEMC120Hz/VRR 2K@240Hz,4K@144Hz; 2x15W Airplay2; WiFi5; BT5.4; 300x300
2026-09	2026-09-04	55684	142301	1	949.0000	installment	SAMSUNG	176265	Mobile and Smartphones/ Samsung/ Samsung A276B Galaxy A27 6GB/128GB 5G Duos Blue
2026-09	2026-09-04	55694	259	1	1479.0000	installment	SIMFER	SIMFER-ZE9060-IXC	გაზქურა SIMFER ZE9060 IXC
2026-09	2026-09-04	55695	142262	1	679.0000	installment	HONOR	177277	Mobile and Smartphones/ Honor/ Honor X7e 6GB/128GB Light Blue
2026-09	2026-09-04	55701	2013	1	1229.0000	installment	HISENSE	HISENSE-R-D-39-W-C-B-G	მაცივარი HISENSE RD-39WC BG
2026-09	2026-09-04	55703	142302	1	949.0000	installment	SAMSUNG	176269	Mobile and Smartphones/ Samsung/ Samsung A276B Galaxy A27 6GB/128GB 5G Duos Light Pink
2026-09	2026-09-04	55728	238	1	149.0000	installment	FRANKO	FRANKO-FSI-1188	უთო FRANKO FSI-1188
2026-09	2026-09-04	55728	38646	1	209.0000	installment	SENCOR	125130	Blender/ Sencor SBL 7570SS
2026-09	2026-09-04	55730	2127	1	529.0000	installment	HONOR	167871	ტელეფონი HONOR X6c 6GB/128GB Ocean Cyan
2026-09	2026-09-04	55732	142298	1	779.0000	installment	SAMSUNG	169673	Mobile and Smartphones/ Samsung/ Samsung A175F Galaxy A17 8GB/256GB LTE Duos Black
2026-09	2026-09-04	55748	500	1	569.0000	installment	HISENSE	HISENSE-DT27DR4-White	მაცივარი HISENSE DT27DR4-White
2026-09	2026-09-04	55750	1994	1	1209.0000	installment	HISENSE	HISENSE-RD39WCWD-BI	მაცივარი HISENSE RD39WCWD-BI
2026-09	2026-09-04	55754	2543	1	699.0000	installment	DREAME	DZ30	აეროგრილი DREAME DZ30 - Black
2026-09	2026-09-04	55763	2434	1	1699.0000	installment	DREAME	Dream-013	რობოტი მტვერსასრუტი Dreame Robot Vacuum D20 Pro Plus White (RLD43SD)
2026-09	2026-09-04	55774	888	1	849.0000	installment	MARAZZI	MARAZZI-WM701FL66-S-W	სარეცხი მანქანა MARAZZI WM701FL66(S/W)
