product_id	start_price	final_price	deal_type
14331	1230.00	2060.00	installment
15857	290.00	490.00	installment
13199	699.00	1210.00	installment
4849	155.00	290.00	installment
15795	109.00	200.00	installment
15811	175.00	340.00	installment
15715	970.00	1600.00	installment
9783	770.00	1270.00	installment
15452	120.00	210.00	installment
13410	320.00	610.00	installment
15792	289.00	490.00	installment
3698	660.00	940.00	installment
15230	734.00	1420.00	installment
15813	970.00	1600.00	installment
12885	570.00	870.00	installment
4136	71.00	160.00	installment
5880	45.00	100.00	installment
14976	42.00	90.00	installment
15259	76.00	140.00	installment
15260	104.00	180.00	installment
15638	168.00	300.00	installment
15230	734.00	1420.00	installment
15814	289.00	490.00	installment
13895	500.00	820.00	installment
6156	980.00	1610.00	installment
15727	970.00	1600.00	installment
6486	286.00	490.00	installment
12082	355.00	590.00	installment
15707	11.00	1600.00	installment
13431	700.00	1150.00	installment
15727	970.00	1600.00	installment
15739	970.00	1600.00	installment
10463	1515.00	2180.00	installment
6986	900.00	1550.00	installment
15822	1150.00	1930.00	installment
14538	412.00	680.00	installment
9958	450.00	750.00	installment
15841	322.00	530.00	installment
15769	2070.00	3360.00	installment
14311	1000.00	1690.00	installment
15673	322.00	530.00	installment
13929	154.00	230.00	single
2068	2120.00	2430.00	single
15720	970.00	1600.00	installment
13066	1000.00	1390.00	installment
11781	650.00	1090.00	installment
15811	175.00	340.00	installment
13529	959.00	1690.00	installment
15739	970.00	1600.00	installment
3502	480.00	800.00	installment
14132	1007.00	1750.00	installment
4630	185.00	310.00	installment
13937	154.00	280.00	installment
13779	790.00	1290.00	installment
11758	294.00	490.00	installment
15707	970.00	1600.00	installment
12738	255.00	450.00	installment
14325	1335.00	2300.00	installment
13913	625.00	1090.00	installment
3967	1270.00	2175.00	installment
8380	735.00	1210.00	installment
3587	65.00	155.00	installment
14559	53.00	135.00	installment
12885	530.00	870.00	installment
15739	970.00	1600.00	installment
14253	950.00	1570.00	installment
15720	970.00	1600.00	installment
15739	970.00	1270.00	installment
14756	230.00	390.00	installment
15759	970.00	1600.00	installment
468	1100.00	1810.00	installment
9743	1100.00	1440.00	installment
12428	570.00	940.00	installment
