dim	mo	k	n	amount	rem	act
goods	2025-04	668	1	720.00	0.00	0
goods	2025-04	681	1	2170.00	0.00	0
goods	2025-04	685	3	5198.00	0.00	0
goods	2025-04	686	1	2250.00	0.00	0
goods	2025-04	721	1	1774.60	0.00	0
goods	2025-04	761	1	432.00	200.00	1
goods	2025-04	765	1	270.00	0.00	0
goods	2025-04	766	1	922.00	0.00	0
goods	2025-04	772	4	2647.16	180.00	1
goods	2025-04	781	1	1191.90	0.00	0
goods	2025-04	788	1	1333.00	0.00	0
goods	2025-04	791	1	1102.42	0.00	0
goods	2025-04	816	1	1114.00	0.00	0
goods	2025-04	828	2	1036.00	0.00	0
goods	2025-04	862	1	664.40	0.00	0
goods	2025-04	863	1	2622.44	0.00	0
goods	2025-04	866	1	828.00	0.00	0
goods	2025-04	867	1	2406.24	0.00	0
goods	2025-04	880	2	1279.52	0.00	0
goods	2025-04	891	2	2380.00	0.00	0
goods	2025-04	892	2	2391.58	0.00	0
goods	2025-04	893	4	4436.00	0.00	0
goods	2025-04	896	1	1720.00	0.00	0
goods	2025-04	900	1	1277.04	0.00	0
goods	2025-04	901	1	1300.00	300.00	1
goods	2025-04	902	1	1281.43	0.00	0
goods	2025-04	903	1	1370.00	0.00	0
goods	2025-04	915	1	550.00	0.00	0
goods	2025-04	919	1	940.00	0.00	0
goods	2025-04	931	1	1450.00	1148.61	1
goods	2025-04	932	2	1333.00	0.00	0
goods	2025-04	937	1	1059.00	0.00	0
goods	2025-04	942	1	1610.00	0.00	0
goods	2025-04	954	1	988.00	0.00	0
goods	2025-04	958	2	866.41	0.00	0
goods	2025-04	991	2	1036.45	0.00	0
goods	2025-05	1027	1	554.00	0.00	0
goods	2025-05	1054	2	1295.50	0.00	0
goods	2025-05	1064	1	1675.00	0.00	0
goods	2025-05	1065	1	2479.00	0.00	0
goods	2025-05	1087	1	967.00	0.00	0
goods	2025-05	1095	1	1467.00	0.00	0
goods	2025-05	1111	1	1520.00	0.00	0
goods	2025-05	1112	1	1776.00	0.00	0
goods	2025-05	1146	1	2125.00	0.00	0
goods	2025-05	1152	1	350.00	0.00	0
goods	2025-05	125	2	841.28	0.00	0
goods	2025-05	128	1	440.00	0.00	0
goods	2025-05	130	1	875.86	0.00	0
goods	2025-05	133	2	780.00	0.00	0
goods	2025-05	138	2	917.00	0.00	0
goods	2025-05	140	1	870.00	0.00	0
goods	2025-05	147	1	380.00	0.00	0
goods	2025-05	160	1	437.00	0.00	0
goods	2025-05	179	1	422.00	0.00	0
goods	2025-05	1973	1	1285.00	0.00	0
goods	2025-05	1994	1	1438.00	0.00	0
goods	2025-05	2001	1	1505.00	0.00	0
goods	2025-05	2003	1	1525.00	0.00	0
goods	2025-05	2004	1	950.00	591.04	1
goods	2025-05	2007	1	1270.00	0.00	0
goods	2025-05	2014	1	2265.00	0.00	0
goods	2025-05	235	1	1105.42	0.00	0
goods	2025-05	247	1	1700.00	0.00	0
goods	2025-05	2489	85	99313.17	8075.33	7
goods	2025-05	281	1	412.00	0.00	0
goods	2025-05	309	1	430.00	0.00	0
goods	2025-05	338	1	1646.00	0.00	0
goods	2025-05	339	1	1690.00	0.00	0
goods	2025-05	342	2	2658.04	0.00	0
goods	2025-05	355	1	452.64	0.00	0
goods	2025-05	373	1	3300.00	0.00	0
goods	2025-05	38305	1	2185.00	0.00	0
goods	2025-05	393	3	4147.30	0.00	0
goods	2025-05	394	1	974.00	0.00	0
goods	2025-05	39546	1	2917.00	0.00	0
goods	2025-05	40372	1	742.00	0.00	0
goods	2025-05	40375	1	1176.80	0.00	0
goods	2025-05	404	1	3010.00	0.00	0
goods	2025-05	414	1	1019.00	0.00	0
goods	2025-05	416	1	1570.00	0.00	0
goods	2025-05	425	1	1194.00	0.00	0
goods	2025-05	427	3	2731.00	0.00	0
goods	2025-05	433	1	1607.00	0.00	0
goods	2025-05	447	1	1270.00	0.00	0
goods	2025-05	458	1	370.00	0.00	0
goods	2025-05	487	1	500.00	0.00	0
goods	2025-05	490	2	873.00	0.00	0
goods	2025-05	503	1	449.44	0.00	0
goods	2025-05	539	1	240.00	0.00	0
goods	2025-05	606	2	2233.32	0.00	0
goods	2025-05	609	1	1267.06	0.00	0
goods	2025-05	61093	1	449.00	0.00	0
goods	2025-05	612	1	667.00	0.00	0
goods	2025-05	613	1	1210.00	0.00	0
goods	2025-05	641	1	2449.00	0.00	0
goods	2025-05	652	2	2197.00	0.00	0
goods	2025-05	660	1	994.00	0.00	0
goods	2025-05	678	1	1995.72	0.00	0
goods	2025-05	680	1	2350.00	1500.00	1
goods	2025-05	681	1	1570.00	0.00	0
goods	2025-05	685	2	2420.00	0.00	0
goods	2025-05	708	1	1863.00	0.00	0
goods	2025-05	709	1	837.22	0.00	0
goods	2025-05	719	2	4641.00	0.00	0
goods	2025-05	726	1	770.00	0.00	0
goods	2025-05	731	1	612.00	250.00	1
goods	2025-05	746	1	2715.00	0.00	0
goods	2025-05	747	3	4326.85	500.00	1
goods	2025-05	76287	1	1230.00	0.00	0
goods	2025-05	765	1	270.00	0.00	0
goods	2025-05	782	1	1090.00	0.00	0
goods	2025-05	800	1	810.00	0.00	0
goods	2025-05	815	1	1904.00	0.00	0
goods	2025-05	828	2	675.00	0.00	0
goods	2025-05	835	1	754.00	0.00	0
goods	2025-05	838	1	3330.00	0.00	0
goods	2025-05	867	1	2748.00	0.00	0
goods	2025-05	880	2	1777.00	363.00	1
goods	2025-05	881	1	1990.31	0.00	0
goods	2025-05	884	1	990.00	0.00	0
goods	2025-05	886	1	1450.00	0.00	0
goods	2025-05	889	1	1050.00	0.00	0
goods	2025-05	891	1	1075.00	0.00	0
goods	2025-05	893	1	1196.88	0.00	0
goods	2025-05	896	1	1615.00	0.00	0
goods	2025-05	897	1	1284.00	0.00	0
goods	2025-05	902	1	1380.00	0.00	0
goods	2025-05	907	2	1985.00	371.00	1
goods	2025-05	908	2	2850.25	0.00	0
goods	2025-05	912	1	2118.27	0.00	0
goods	2025-05	914	2	1242.70	0.00	0
goods	2025-05	915	1	518.08	0.00	0
goods	2025-05	919	2	1550.00	0.00	0
goods	2025-05	927	1	790.00	0.00	0
goods	2025-05	928	1	972.00	0.00	0
goods	2025-05	954	1	450.00	0.00	0
goods	2025-05	958	1	1150.00	0.00	0
goods	2025-05	991	3	1462.00	0.00	0
goods	2025-06	1006	1	1370.00	0.00	0
goods	2025-06	1021	1	990.00	0.00	0
goods	2025-06	1025	2	1138.00	0.00	0
goods	2025-06	1053	1	2340.00	0.00	0
goods	2025-06	1054	1	765.38	0.00	0
goods	2025-06	1062	1	1492.00	405.00	1
goods	2025-06	1067	1	1924.00	0.00	0
goods	2025-06	1068	1	1900.00	1710.00	1
goods	2025-06	1070	1	687.00	0.00	0
goods	2025-06	1074	1	490.00	0.00	0
goods	2025-06	1087	3	3476.48	0.00	0
goods	2025-06	1088	1	862.77	0.00	0
goods	2025-06	1089	1	1050.00	0.00	0
goods	2025-06	1095	1	1450.00	0.00	0
goods	2025-06	1110	1	1050.00	0.00	0
goods	2025-06	1111	1	1221.00	0.00	0
goods	2025-06	1112	1	2176.59	0.00	0
goods	2025-06	1155	1	467.00	0.00	0
goods	2025-06	1180	1	389.33	0.00	0
goods	2025-06	1185	1	1863.00	0.00	0
goods	2025-06	136	1	500.00	0.00	0
goods	2025-06	140	2	1840.00	0.00	0
goods	2025-06	1971	1	600.00	54.00	1
goods	2025-06	1975	1	750.00	0.00	0
goods	2025-06	1998	1	2118.00	0.00	0
goods	2025-06	2000	1	2779.00	0.00	0
goods	2025-06	2003	2	3282.80	0.00	0
